distance_mm,mean_range_cm,mean_absolute_error_cm,std_dev_cm,material,medium,frequency_hz
200,46.64304444444445,26.643044444444453,66.98511498466758,plastic,air,27
250,45.59416326530613,20.610857142857146,64.30516241737024,plastic,air,27
300,45.62639583333333,15.667270833333331,65.15546688873582,plastic,air,27
350,45.961166666666664,10.961166666666669,64.898671032019,plastic,air,27
400,48.69944897959184,9.739081632653061,63.94799687471229,plastic,air,27
450,54.999270833333334,9.999270833333334,63.94067439064759,plastic,air,27
500,58.38004081632653,9.744571428571428,62.87100920948177,plastic,air,27
550,63.5628125,9.811020833333332,63.02129048803542,plastic,air,27
600,64.59393421052631,6.893723684210528,49.87594863319857,plastic,air,27
650,68.30179047619046,4.945466666666667,42.13364000928819,plastic,air,27
700,70.7039305019305,2.609459459459459,26.66992609784789,plastic,air,27
750,82.97370833333333,9.749208333333334,60.88068320766117,plastic,air,27
800,87.14455999999998,9.713799999999999,59.187916677024525,plastic,air,27
850,92.4693125,9.937479166666666,59.8478179980817,plastic,air,27
900,97.61165957446808,10.001914893617021,59.9071357918047,plastic,air,27
950,101.80462,9.60138,57.62169929701483,plastic,air,27
