distance_mm,mean_range_cm,mean_absolute_error_cm,std_dev_cm,material,medium,frequency_hz
200,36.54465909090909,16.544659090909093,0.025029930430494264,plastic,air,27
250,36.31572916666667,11.332770833333335,1.7103586093222203,plastic,air,27
300,36.12370212765957,6.165446808510637,1.0497636393522647,plastic,air,27
350,36.494723404255325,1.4947234042553204,0.02756169260131527,plastic,air,27
400,39.46935416666667,0.5306458333333336,0.0561821774762448,plastic,air,27
450,45.672723404255315,0.6727234042553193,0.3767114535549398,plastic,air,27
500,49.30560416666666,0.6985624999999999,0.43407361796816446,plastic,air,27
550,54.37065957446809,0.6454255319148934,0.6281162745250461,plastic,air,27
600,58.834773333333324,1.1652266666666657,0.12411302089448746,plastic,air,27
650,64.17025961538461,0.8297403846153854,0.103966247776742,plastic,air,27
700,69.04354263565892,0.9564573643410853,0.08898928667789607,plastic,air,27
750,74.09336170212767,0.9066382978723394,0.10810011623036148,plastic,air,27
800,78.68916326530612,1.310836734693877,0.1298250544887657,plastic,air,27
850,83.73965957446808,1.2603404255319137,0.2016857969868036,plastic,air,27
900,88.77889130434782,1.2211086956521737,0.2175812919808091,plastic,air,27
950,93.57308163265306,1.4269183673469397,0.33082937440433446,plastic,air,27
