time[s],SensorID,event,mask,tL.num_valid_targets,tL.reserved,tL.targets[0].amplitude,tL.targets[0].range,tL.targets[0].reserved[0],tL.targets[0].reserved[1],tL.targets[1].amplitude,tL.targets[1].range,tL.targets[1].reserved[0],tL.targets[1].reserved[1],tL.targets[2].amplitude,tL.targets[2].range,tL.targets[2].reserved[0],tL.targets[2].reserved[1],tL.targets[3].amplitude,tL.targets[3].range,tL.targets[3].reserved[0],tL.targets[3].reserved[1],tL.targets[4].amplitude,tL.targets[4].range,tL.targets[4].reserved[0],tL.targets[4].reserved[1]
650.511,0,1,1,1,0,16855,0.31764921582845906,39,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
650.531,1,1,0,1,1,17141,0.37288169943965965,44,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650.548,0,1,1,1,0,16864,0.31764921582845906,39,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
650.568,1,1,0,1,1,17026,0.3735768554788835,44,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650.585,0,1,1,1,0,16859,0.3175207429403586,39,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
650.605,1,1,0,1,1,17026,0.37441104272595205,44,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650.622,0,1,1,1,0,17137,0.31784192516060983,40,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
650.642,1,1,0,1,1,17131,0.37517571436909825,44,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650.659,0,1,1,1,0,16841,0.3175207429403586,40,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
650.679,1,1,0,1,1,17016,0.37510619876517587,44,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650.696,0,1,1,1,0,16854,0.3175849793844088,40,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
650.716,1,1,0,1,1,16987,0.37517571436909825,44,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650.733,0,1,1,1,0,16832,0.31745650649630835,40,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
650.753,1,1,0,1,1,16979,0.37489765195340874,43,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650.77,0,1,1,1,0,17051,0.3175207429403586,40,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
650.79,1,1,0,1,1,17059,0.37482813634948636,44,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650.807,0,1,1,1,0,16845,0.3173280336082078,39,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
650.827,1,1,0,1,1,17059,0.37482813634948636,44,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650.844,0,1,1,1,0,17029,0.3173922700522581,40,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
650.864,1,1,0,1,1,17002,0.3750366831612535,44,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650.881,0,1,1,1,0,17085,0.31745650649630835,40,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
650.901,1,1,0,1,1,16878,0.37510619876517587,44,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650.918,0,1,1,1,0,17136,0.31745650649630835,41,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
650.938,1,1,0,1,1,16878,0.3752452299730206,44,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650.955,0,1,1,1,0,17141,0.31764921582845906,41,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
650.975,1,1,0,1,1,16878,0.375314745576943,44,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
