time[s],SensorID,event,mask,tL.num_valid_targets,tL.reserved,tL.targets[0].amplitude,tL.targets[0].range,tL.targets[0].reserved[0],tL.targets[0].reserved[1],tL.targets[1].amplitude,tL.targets[1].range,tL.targets[1].reserved[0],tL.targets[1].reserved[1],tL.targets[2].amplitude,tL.targets[2].range,tL.targets[2].reserved[0],tL.targets[2].reserved[1],tL.targets[3].amplitude,tL.targets[3].range,tL.targets[3].reserved[0],tL.targets[3].reserved[1],tL.targets[4].amplitude,tL.targets[4].range,tL.targets[4].reserved[0],tL.targets[4].reserved[1]
960.826,1,1,25,1,0,1010,0.9542402148887184,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
960.862,0,1,17,1,0,2346,0.9342259551450238,58,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
960.903,1,1,25,1,0,1073,0.9552162057572485,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
960.939,0,1,17,1,0,2338,0.9340975392061723,58,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
960.98,1,1,25,1,0,1079,0.9556344875580473,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
961.016,0,1,17,1,0,2373,0.9342259551450238,58,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
961.057,1,1,25,1,0,1063,0.9554950602911144,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
961.093,0,1,17,1,0,2368,0.9344827870227269,58,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
961.134,1,1,25,1,0,1062,0.9557739148249802,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
961.17,0,1,17,1,0,2352,0.9348680348392816,58,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
961.211,1,1,25,1,0,1086,0.9557739148249802,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
961.247,0,1,17,1,0,2313,0.93473961890043,58,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
961.288,1,1,25,1,0,1134,0.9563316238927118,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
961.324,0,1,17,1,0,2256,0.9348680348392816,58,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
961.365,1,1,25,1,0,1164,0.9568893329604433,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
961.401,0,1,17,1,0,10441,1.0025432346140482,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
961.442,1,1,25,1,0,1161,0.9564710511596446,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
961.478,0,1,17,1,0,10557,1.0025432346140482,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
961.519,1,1,25,1,0,1171,0.9566104784265775,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
961.555,0,1,17,1,0,10602,1.0025432346140482,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
961.596,1,1,25,1,0,1133,0.9564710511596446,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
961.632,0,1,17,1,0,10691,1.0025432346140482,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
961.673,1,1,25,1,0,1150,0.9568893329604433,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
961.709,0,1,17,1,0,10786,1.0026716505528999,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
961.75,1,1,25,1,0,1227,0.9574470420281749,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
961.787,0,1,17,1,0,2266,0.9339691232673207,58,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
961.827,1,1,25,1,0,1284,0.9582836056297722,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
961.864,0,1,17,1,0,2270,0.9325565479399537,58,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
961.904,1,1,25,1,0,1324,0.9582836056297722,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
961.941,0,1,17,1,0,10744,1.0029284824306028,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
961.981,1,1,25,1,0,1345,0.9584230328967052,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
962.018,0,1,17,1,0,10646,1.0026716505528999,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
962.059,1,1,25,1,0,1305,0.9382060791914356,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
962.095,0,1,17,1,0,10643,1.0025432346140482,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
962.136,1,1,25,1,0,1292,0.9577258965620407,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
962.172,0,1,17,1,0,10615,1.0026716505528999,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
962.213,1,1,25,1,0,1307,0.9575864692951077,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
962.249,0,1,17,1,0,10490,1.0024148186751967,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
962.29,1,1,25,1,0,1301,0.9575864692951077,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
962.326,0,1,17,1,0,10185,1.002029570858642,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
962.367,1,1,25,1,0,1256,0.9574470420281749,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
962.403,0,1,17,1,0,9938,1.002029570858642,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
962.444,1,1,25,1,0,1241,0.9561921966257788,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
962.48,0,1,17,1,0,9812,1.0019011549197905,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
962.521,1,1,25,1,0,1173,0.955913342091913,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
962.557,0,1,17,1,0,9728,1.0016443230420875,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
962.598,1,1,25,1,0,1122,0.9553556330241815,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
962.634,0,1,17,1,0,9712,1.0013874911643843,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
962.675,1,1,25,1,0,1123,0.9553556330241815,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
962.711,0,1,17,1,0,9599,1.001130659286681,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
962.752,1,1,25,1,0,1143,0.9554950602911144,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
962.788,0,1,17,1,0,9514,1.0008738274089781,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
962.829,1,1,25,1,0,1125,0.956052769358846,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
962.865,0,1,17,1,0,9431,1.000616995531275,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
962.906,1,1,25,1,0,1137,0.9561921966257788,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
962.942,0,1,17,1,0,9416,1.0007454114701266,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
962.983,1,1,25,1,0,1155,0.9557739148249802,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
963.019,0,1,17,1,0,9403,1.0004885795924234,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
963.06,1,1,25,1,0,1155,0.9563316238927118,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
963.096,0,1,17,1,0,9603,1.000360163653572,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
963.137,1,1,25,1,0,873,0.9729234686577259,58,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
963.173,0,1,17,1,0,9748,1.000360163653572,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
963.214,1,1,25,1,0,1232,0.9581441783628393,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
963.25,0,1,17,1,0,9779,1.0004885795924234,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
963.291,1,1,25,1,0,1260,0.9582836056297722,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
963.327,0,1,17,1,0,9750,1.000360163653572,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
963.368,1,1,25,1,0,1259,0.9582836056297722,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
963.404,0,1,17,1,0,9718,1.0004885795924234,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
963.445,1,1,25,1,0,959,0.9736206049923904,58,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
963.481,0,1,17,1,0,9913,1.000616995531275,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
963.522,1,1,25,1,0,1293,0.9584230328967052,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
963.558,0,1,17,1,0,10087,1.0010022433478296,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
963.599,1,1,25,1,0,1293,0.9587018874305709,57,800,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
963.635,0,1,17,1,0,10009,1.001130659286681,62,800,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
